,article,cluster,internal_references,assigned_articles,references_count,assigned_articles_count,precision,correctly_labeled,recall
"('59',)",Article 147,59,"['115', '116', '117', '118', '119', '166']","['123', '147', '150', '152', '153', '154', '242', '255', '261', '262', '306', '379', '390', '449']",6,14,0.0,0,0.0
"('94',)",Article 148,94,"['150', '147', '154', '10']","['101', '124', '143', '148', '164', '173', '495']",4,7,0.0,0,0.0
"('71',)",Article 149,71,"['151', '148', '150']","['149', '283', '313', '363']",3,4,0.0,0,0.0
"('59',)",Article 150,59,"['147', '114', '113', '119', '215', '10']","['123', '147', '150', '152', '153', '154', '242', '255', '261', '262', '306', '379', '390', '449']",6,14,0.07142857142857142,1,0.16666666666666666
"('27',)",Article 151,27,"['157', '152', '147', '155', '153', '143', '161', '166', '1472', '158']","['151', '155', '158', '258']",9,4,0.5,2,0.2222222222222222
"('59',)",Article 152,59,"['132', '147', '155', '150', '10']","['123', '147', '150', '152', '153', '154', '242', '255', '261', '262', '306', '379', '390', '449']",5,14,0.14285714285714285,2,0.4
"('59',)",Article 153,59,"['161', '181', '202', '217', '184', '154', '10']","['123', '147', '150', '152', '153', '154', '242', '255', '261', '262', '306', '379', '390', '449']",7,14,0.07142857142857142,1,0.14285714285714285
"('59',)",Article 154,59,"['181', '147', '202', '217', '153', '184']","['123', '147', '150', '152', '153', '154', '242', '255', '261', '262', '306', '379', '390', '449']",6,14,0.14285714285714285,2,0.3333333333333333
"('27',)",Article 155,27,"['48', '162', '153', '178', '165']","['151', '155', '158', '258']",5,4,0.0,0,0.0
"('44',)",Article 156,44,[],"['130', '156', '195', '245', '246', '251', '252', '256', '260', '265', '266']",0,11,0.0,0,
"('15',)",Article 157,15,['153'],"['157', '221', '263']",1,3,0.0,0,0.0
"('27',)",Article 158,27,"['151', '147', '152', '5', '181', '153']","['151', '155', '158', '258']",6,4,0.25,1,0.16666666666666666
"('11',)",Article 159,11,"['158', '34', '110', '166']","['114', '120', '122', '131', '134', '140', '159', '442', '496']",4,9,0.0,0,0.0
"('4',)",Article 160,4,"['143', '201', '161']","['129', '144', '145', '160', '161', '162', '289', '401']",3,8,0.125,1,0.3333333333333333
"('4',)",Article 161,4,"['129', '143', '153']","['129', '144', '145', '160', '161', '162', '289', '401']",3,8,0.125,1,0.3333333333333333
"('4',)",Article 162,4,"['143', '384', '153', '383', '4']","['129', '144', '145', '160', '161', '162', '289', '401']",5,8,0.0,0,0.0
"('31',)",Article 163,31,"['164', '201', '160']","['163', '284', '285', '290', '291', '292', '293', '294']",3,8,0.0,0,0.0
"('94',)",Article 164,94,"['143', '183', '154', '153', '101', '10']","['101', '124', '143', '148', '164', '173', '495']",6,7,0.2857142857142857,2,0.3333333333333333
"('46',)",Article 165,46,['155'],"['133', '165', '186', '187', '362', '471']",1,6,0.0,0,0.0
"('96',)",Article 166,96,"['201', '213', '24', '223', '220', '151']","['111', '166', '167', '168', '235', '271']",6,6,0.0,0,0.0
"('96',)",Article 167,96,[],"['111', '166', '167', '168', '235', '271']",0,6,0.0,0,
"('96',)",Article 168,96,[],"['111', '166', '167', '168', '235', '271']",0,6,0.0,0,
"('47',)",Article 169,47,[],"['169', '189', '287', '320', '321', '322', '372', '435']",0,8,0.0,0,
"('17',)",Article 170,17,[],"['107', '112', '115', '116', '117', '119', '121', '128', '170', '172', '176', '302', '310', '387', '398', '406', '408', '409', '447']",0,19,0.0,0,
"('72',)",Article 171,72,[],"['171', '174', '175', '179', '184', '286', '297']",0,7,0.0,0,
"('17',)",Article 172,17,"['143', '153', '170', '155']","['107', '112', '115', '116', '117', '119', '121', '128', '170', '172', '176', '302', '310', '387', '398', '406', '408', '409', '447']",4,19,0.05263157894736842,1,0.25
"('94',)",Article 173,94,"['155', '10']","['101', '124', '143', '148', '164', '173', '495']",2,7,0.0,0,0.0
"('72',)",Article 174,72,[],"['171', '174', '175', '179', '184', '286', '297']",0,7,0.0,0,
"('72',)",Article 175,72,[],"['171', '174', '175', '179', '184', '286', '297']",0,7,0.0,0,
"('17',)",Article 176,17,"['155', '161', '166']","['107', '112', '115', '116', '117', '119', '121', '128', '170', '172', '176', '302', '310', '387', '398', '406', '408', '409', '447']",3,19,0.0,0,0.0
"('40',)",Article 177,40,['153'],"['177', '212', '248', '308', '309', '378']",1,6,0.0,0,0.0
"('57',)",Article 178,57,"['127', '10']","['27', '178', '197', '259', '416', '423']",2,6,0.0,0,0.0
"('72',)",Article 179,72,"['180', '181', '182', '178']","['171', '174', '175', '179', '184', '286', '297']",4,7,0.0,0,0.0
"('33',)",Article 180,33,"['155', '181', '178', '174', '143', '10']","['105', '180', '181', '182', '185', '188', '316', '318', '412']",6,9,0.1111111111111111,1,0.16666666666666666
"('33',)",Article 181,33,['10'],"['105', '180', '181', '182', '185', '188', '316', '318', '412']",1,9,0.0,0,0.0
"('33',)",Article 182,33,['10'],"['105', '180', '181', '182', '185', '188', '316', '318', '412']",1,9,0.0,0,0.0
"('56',)",Article 183,56,"['171', '172', '173', '216', '201', '148', '150', '10']","['183', '226', '388', '404', '498']",8,5,0.0,0,0.0
"('72',)",Article 184,72,[],"['171', '174', '175', '179', '184', '286', '297']",0,7,0.0,0,
"('33',)",Article 185,33,[],"['105', '180', '181', '182', '185', '188', '316', '318', '412']",0,9,0.0,0,
"('46',)",Article 186,46,[],"['133', '165', '186', '187', '362', '471']",0,6,0.0,0,
"('46',)",Article 187,46,[],"['133', '165', '186', '187', '362', '471']",0,6,0.0,0,
"('33',)",Article 188,33,[],"['105', '180', '181', '182', '185', '188', '316', '318', '412']",0,9,0.0,0,
"('47',)",Article 189,47,[],"['169', '189', '287', '320', '321', '322', '372', '435']",0,8,0.0,0,
"('10',)",Article 190,10,['179'],"['141', '190', '288', '368', '376', '446', '455']",1,7,0.0,0,0.0
"('99',)",Article 191,99,[],['191'],0,1,0.0,0,
"('67',)",Article 192,67,[],"['5', '192', '392']",0,3,0.0,0,
"('75',)",Article 193,75,[],"['62', '106', '108', '109', '193', '237', '240', '241', '250', '257', '264', '385', '438', '444', '452', '453']",0,16,0.0,0,
"('0',)",Article 194,0,"['197', '201', '203', '204', '10']","['137', '138', '139', '194', '202', '204', '213', '216', '218', '224', '233', '268', '269', '347', '439']",5,15,0.06666666666666667,1,0.2
"('44',)",Article 195,44,['196'],"['130', '156', '195', '245', '246', '251', '252', '256', '260', '265', '266']",1,11,0.0,0,0.0
"('22',)",Article 196,22,"['223', '299', '197', '198']","['196', '456', '507']",4,3,0.0,0,0.0
"('57',)",Article 197,57,"['115', '116', '117', '118', '132', '198', '224', '299', '400', '416', '428', '4']","['27', '178', '197', '259', '416', '423']",12,6,0.16666666666666666,1,0.08333333333333333
"('88',)",Article 198,88,"['197', '223']","['33', '198', '229', '365', '366']",2,5,0.0,0,0.0
"('20',)",Article 199,20,"['197', '198', '124', '210', '230', '211']","['199', '211', '227']",6,3,0.3333333333333333,1,0.16666666666666666
"('43',)",Article 200,43,[],"['28', '29', '31', '51', '52', '53', '54', '63', '64', '66', '77', '200', '282', '330', '483']",0,15,0.0,0,
"('28',)",Article 201,28,"['117', '116', '119']","['92', '113', '132', '201', '323', '400', '493', '500']",3,8,0.0,0,0.0
"('0',)",Article 202,0,['153'],"['137', '138', '139', '194', '202', '204', '213', '216', '218', '224', '233', '268', '269', '347', '439']",1,15,0.0,0,0.0
"('63',)",Article 203,63,[],"['203', '267', '361']",0,3,0.0,0,
"('0',)",Article 204,0,[],"['137', '138', '139', '194', '202', '204', '213', '216', '218', '224', '233', '268', '269', '347', '439']",0,15,0.0,0,
"('95',)",Article 205,95,['206'],"['205', '206']",1,2,0.5,1,1.0
